age,income,score1,score2,score3,gender,product_type,purchased
37,28415,40,49,79,Female,B,1
41,82292,65,73,124,Male,A,1
50,43833,63,60,77,Female,C,0
41,24158,54,61,66,Female,A,0
69,82680,29,57,54,Male,C,0
28,40309,58,61,66,Male,A,1
66,26970,60,84,52,Male,B,0
25,92474,50,56,75,Male,A,1
53,106704,68,53,72,Female,A,0
55,66540,39,65,26,Male,A,1
57,40384,42,34,69,Female,B,1
37,38017,12,60,91,Male,A,0
52,95880,63,56,62,Female,B,1
65,28702,54,50,56,Female,C,0
42,20384,24,65,42,Female,A,1
52,20404,23,60,32,Female,B,1
42,60943,36,41,86,Male,B,0
46,67926,61,53,66,Male,A,1
35,49189,45,31,85,Female,C,1
63,32763,37,62,100,Male,B,0
35,38384,34,62,88,Male,A,0
19,80100,34,52,59,Female,C,1
52,118142,20,65,72,Male,B,1
33,29860,31,47,57,Male,B,0
58,100642,33,50,55,Male,C,0
53,70612,60,64,76,Female,C,0
50,43574,47,53,53,Male,A,0
21,43524,37,59,25,Female,A,0
50,89172,84,54,52,Male,B,1
31,30916,40,55,63,Male,C,0
38,24809,67,56,100,Male,C,1
65,52201,74,52,60,Female,C,0
37,73330,26,63,80,Female,B,0
25,33456,51,53,66,Male,C,0
24,76397,42,60,94,Female,C,0
20,58765,41,52,93,Male,B,1
34,54816,58,44,93,Female,A,1
50,65106,40,69,35,Female,A,1
65,73932,42,64,74,Male,B,1
29,37100,47,82,85,Male,C,1
68,77091,44,49,77,Male,B,0
39,41949,32,57,82,Male,A,1
39,90080,61,58,71,Female,A,1
63,57744,65,69,55,Female,B,0
47,65543,55,54,36,Female,B,1
55,112193,44,48,57,Male,A,0
55,56187,39,72,123,Male,B,0
62,27239,39,56,60,Female,A,1
68,34489,85,68,30,Male,B,0
25,78017,64,67,84,Female,B,0
44,81877,37,59,87,Female,B,1
44,63125,52,58,95,Female,A,1
51,69922,44,56,79,Female,B,0
38,114074,58,59,86,Female,A,1
47,52049,58,68,106,Male,A,0
50,57131,66,52,55,Male,B,0
45,62944,37,61,51,Male,B,1
64,93963,51,48,48,Female,A,1
50,44285,23,50,64,Female,A,0
22,57626,31,59,98,Female,C,1
65,62808,63,40,80,Female,A,1
36,108464,35,80,79,Male,C,0
21,73871,37,48,33,Male,C,0
52,39198,49,59,56,Female,C,0
66,39758,60,71,33,Female,B,1
34,35254,34,51,93,Female,B,1
61,64238,-2,36,101,Male,A,1
45,21252,36,55,85,Male,C,1
47,59764,68,51,50,Male,B,1
46,97709,55,37,99,Female,B,0
63,57441,69,62,64,Female,B,0
23,112234,33,62,45,Male,B,0
52,73682,25,71,50,Female,B,0
58,79494,56,48,61,Male,C,1
54,101317,53,44,70,Female,C,1
41,85215,54,55,66,Male,C,0
46,98587,63,59,41,Female,C,0
66,26949,56,69,94,Male,A,1
63,75393,56,74,66,Male,C,0
48,93553,60,72,55,Male,B,0
52,26941,57,62,92,Male,C,0
50,45934,62,67,46,Male,A,0
69,43386,65,53,37,Male,B,1
38,81886,72,61,95,Female,C,0
49,95745,40,48,107,Female,C,0
40,103251,57,60,60,Female,C,0
50,114456,44,60,69,Male,B,1
20,73413,37,77,47,Male,B,0
35,76800,39,57,70,Female,A,0
42,117239,57,60,60,Male,B,0
59,62318,56,62,67,Male,B,0
48,90173,56,55,78,Male,C,0
20,90390,46,51,48,Male,B,1
57,72329,50,72,62,Male,C,0
63,63088,62,50,33,Female,C,0
41,59811,27,46,62,Female,B,1
67,75479,50,66,68,Female,A,0
49,105392,51,71,74,Female,A,0
64,107369,61,55,74,Female,B,0
39,39963,29,55,88,Male,A,1
40,75123,72,62,39,Male,C,0
19,112705,53,52,40,Male,C,1
44,93477,53,52,80,Male,B,1
59,34388,43,68,29,Female,A,0
19,25569,58,66,73,Female,A,1
43,89836,50,73,46,Female,C,0
34,56586,68,47,101,Male,B,0
57,32015,28,54,75,Female,A,1
50,65002,52,62,65,Male,B,1
26,26254,56,50,94,Female,A,1
60,37144,47,66,48,Female,C,0
65,44214,43,72,52,Male,C,0
56,100719,44,54,44,Male,B,1
46,91774,52,60,52,Female,C,0
59,26090,22,74,71,Female,A,0
43,31637,64,77,79,Male,C,0
52,42415,42,67,89,Female,B,0
67,44071,51,65,33,Female,B,1
42,78243,55,51,66,Male,B,0
41,61240,42,63,47,Female,A,1
30,103807,48,65,65,Male,A,0
24,53434,19,57,116,Female,A,1
53,89724,60,54,75,Male,A,0
62,95697,66,47,87,Female,A,0
37,48732,24,42,109,Male,C,0
18,31314,43,40,92,Female,A,0
25,43954,31,65,61,Male,A,0
63,77108,47,61,44,Female,C,1
33,107044,59,55,69,Female,A,1
31,107505,64,56,58,Female,B,0
29,56668,66,62,39,Female,A,0
68,43061,69,58,74,Female,A,0
40,99252,46,46,75,Female,B,0
32,59749,32,69,105,Female,B,1
45,36907,48,63,62,Female,B,1
51,38777,59,62,75,Female,B,0
19,113229,31,68,56,Male,A,0
49,71745,74,51,87,Male,B,0
40,111865,63,72,67,Female,B,1
39,101818,46,58,46,Male,C,0
68,43624,39,68,69,Female,B,1
42,43321,39,67,77,Female,B,1
39,30488,51,49,75,Male,C,0
39,42574,46,65,90,Female,C,1
66,25240,64,63,41,Female,A,0
69,63221,44,60,53,Male,C,1
59,30478,57,59,82,Male,A,0
23,75645,49,59,55,Female,C,0
32,39262,54,68,74,Male,C,1
60,72796,46,65,21,Male,A,1
54,24432,60,60,124,Female,C,1
50,115257,60,45,64,Male,A,0
25,84291,56,64,93,Male,C,1
61,99104,59,67,63,Female,B,0
61,79399,35,83,78,Male,C,1
22,99714,54,70,99,Male,A,0
56,70428,68,41,93,Female,C,1
21,107731,57,60,65,Female,A,1
23,20302,34,78,67,Female,A,1
62,102558,49,66,90,Male,B,0
49,20055,55,63,116,Female,B,0
69,28717,38,69,73,Female,A,1
47,48699,29,53,109,Male,C,0
64,93686,45,64,65,Female,A,1
52,87661,38,57,89,Female,A,0
57,64247,49,59,92,Female,C,0
69,36748,26,68,61,Female,C,1
33,24621,58,50,55,Male,C,1
30,35034,40,72,92,Female,C,0
67,25126,64,55,59,Female,A,0
59,25122,45,62,52,Male,A,0
47,38030,49,45,56,Female,B,1
36,102838,47,67,59,Male,A,0
34,104717,39,74,87,Male,C,1
36,75658,87,54,80,Male,B,1
45,58638,42,48,84,Female,C,0
43,87067,65,62,78,Male,A,1
54,108869,33,74,58,Male,B,0
43,54674,55,45,83,Male,C,0
40,55854,57,48,93,Female,B,1
26,66271,49,55,81,Female,B,0
29,93688,41,51,78,Female,A,0
18,58518,46,51,54,Female,C,0
18,30267,43,39,74,Female,B,0
64,110825,86,65,53,Female,B,0
51,21062,49,63,69,Female,C,1
49,70448,57,43,37,Male,B,1
65,115462,76,74,37,Male,B,1
42,26229,36,76,66,Male,B,0
57,76793,50,52,59,Male,C,0
62,67915,45,71,72,Female,C,0
18,24632,48,54,67,Male,C,0
