age,income,score1,score2,score3,gender,product_type,purchased
23,33843.0,38.0,67,64,0,2,0
39,91726.0,70.0,70,37,0,0,0
28,37640.0,36.0,61,85,1,0,1
65,72528.0,58.0,64,91,0,2,1
33,58413.0,23.0,81,52,1,1,1
50,72638.0,81.0,48,78,1,2,1
26,72736.0,45.0,47,87,0,1,1
23,88866.0,51.0,66,88,0,0,0
33,39087.0,52.0,79,74,1,2,0
46,61430.0,59.0,57,84,1,2,0
20,44504.0,27.0,77,57,0,2,1
37,27114.0,49.0,60,71,0,1,0
53,98859.0,40.0,53,60,0,1,1
36,119657.0,24.0,50,55,0,0,0
43,30975.0,64.0,66,70,1,1,1
20,31023.0,44.0,50,76,0,1,1
36,41447.0,53.0,60,93,0,0,1
37,110469.0,52.0,75,75,0,2,1
49,43959.0,44.0,56,82,1,2,1
24,86203.0,79.0,73,83,1,0,1
69,49703.0,49.0,47,123,1,2,1
58,29337.0,26.0,54,33,1,1,1
50,66427.0,43.0,45,56,0,0,1
57,81529.0,57.0,60,99,1,0,0
56,104665.0,57.0,67,62,0,0,0
35,51921.0,33.0,60,87,0,2,0
57,53307.0,63.0,72,74,0,0,0
18,47355.0,23.0,52,112,0,0,0
28,24835.0,67.0,62,47,1,0,1
45,40159.0,30.0,54,94,1,2,1
42,67605.0,46.0,63,104,1,1,1
67,58088.0,65.0,65,49,0,0,0
40,98752.0,51.0,65,85,0,1,0
48,75284.0,62.0,49,50,0,2,0
47,77043.0,59.0,51,70,0,2,0
59,55547.0,69.0,52,64,0,2,0
52,117007.0,65.0,57,21,1,2,0
24,102844.0,43.0,60,78,0,1,1
33,47532.0,59.0,67,72,1,0,1
43,54349.0,27.0,51,99,0,2,0
65,65445.0,49.0,43,82,0,2,0
69,25713.0,62.0,81,115,1,1,0
66,76178.0,52.0,48,72,1,1,0
19,69407.0,56.0,68,67,0,2,1
18,90340.0,46.0,60,66,0,0,0
65,70990.0,66.0,62,61,0,0,0
29,95672.0,48.0,59,25,0,2,0
22,85545.0,43.0,56,65,1,1,0
54,104791.0,63.0,64,28,0,2,1
49,78141.0,28.0,55,79,1,2,1
26,43793.0,57.0,71,45,0,1,1
58,76570.0,34.0,65,52,1,2,0
52,115084.0,69.0,65,56,1,2,0
36,57892.0,46.0,54,65,0,2,0
65,21015.0,52.0,57,70,1,1,1
33,81813.0,56.0,48,91,0,0,0
20,47712.0,21.0,56,58,1,0,0
37,28415.0,40.0,49,79,0,1,1
41,82292.0,65.0,73,124,1,0,1
50,43833.0,63.0,60,77,0,2,0
41,24158.0,54.0,61,66,0,0,0
69,82680.0,29.0,57,54,1,2,0
28,40309.0,58.0,61,66,1,0,1
66,26970.0,60.0,84,52,1,1,0
25,92474.0,50.0,56,75,1,0,1
53,106704.0,68.0,53,72,0,0,0
55,66540.0,39.0,65,26,1,0,1
57,40384.0,42.0,34,69,0,1,1
37,38017.0,12.0,60,91,1,0,0
52,95880.0,63.0,56,62,0,1,1
65,28702.0,54.0,50,56,0,2,0
42,20384.0,24.0,65,42,0,0,1
52,20404.0,23.0,60,32,0,1,1
42,60943.0,36.0,41,86,1,1,0
46,67926.0,61.0,53,66,1,0,1
35,49189.0,45.0,31,85,0,2,1
63,32763.0,37.0,62,100,1,1,0
35,38384.0,34.0,62,88,1,0,0
19,80100.0,34.0,52,59,0,2,1
52,118142.0,20.0,65,72,1,1,1
33,29860.0,31.0,47,57,1,1,0
58,100642.0,33.0,50,55,1,2,0
53,70612.0,60.0,64,76,0,2,0
50,43574.0,47.0,53,53,1,0,0
21,43524.0,37.0,59,25,0,0,0
50,89172.0,84.0,54,52,1,1,1
31,30916.0,40.0,55,63,1,2,0
38,24809.0,67.0,56,100,1,2,1
65,52201.0,74.0,52,60,0,2,0
37,73330.0,26.0,63,80,0,1,0
25,33456.0,51.0,53,66,1,2,0
24,76397.0,42.0,60,94,0,2,0
20,58765.0,41.0,52,93,1,1,1
34,54816.0,58.0,44,93,0,0,1
50,65106.0,40.0,69,35,0,0,1
65,73932.0,42.0,64,74,1,1,1
29,37100.0,47.0,82,85,1,2,1
68,77091.0,44.0,49,77,1,1,0
39,41949.0,32.0,57,82,1,0,1
39,90080.0,61.0,58,71,0,0,1
63,57744.0,65.0,69,55,0,1,0
47,65543.0,55.0,54,36,0,1,1
55,112193.0,44.0,48,57,1,0,0
55,56187.0,39.0,72,123,1,1,0
62,27239.0,39.0,56,60,0,0,1
68,34489.0,85.0,68,30,1,1,0
25,78017.0,64.0,67,84,0,1,0
44,81877.0,37.0,59,87,0,1,1
44,63125.0,52.0,58,95,0,0,1
51,69922.0,44.0,56,79,0,1,0
38,114074.0,58.0,59,86,0,0,1
47,52049.0,58.0,68,106,1,0,0
50,57131.0,66.0,52,55,1,1,0
45,62944.0,37.0,61,51,1,1,1
64,93963.0,51.0,48,48,0,0,1
50,44285.0,23.0,50,64,0,0,0
22,57626.0,31.0,59,98,0,2,1
65,62808.0,63.0,40,80,0,0,1
36,108464.0,35.0,80,79,1,2,0
21,73871.0,37.0,48,33,1,2,0
52,39198.0,49.0,59,56,0,2,0
66,39758.0,60.0,71,33,0,1,1
34,35254.0,34.0,51,93,0,1,1
61,64238.0,-2.0,36,101,1,0,1
45,21252.0,36.0,55,85,1,2,1
47,59764.0,68.0,51,50,1,1,1
46,97709.0,55.0,37,99,0,1,0
63,57441.0,69.0,62,64,0,1,0
23,112234.0,33.0,62,45,1,1,0
52,73682.0,25.0,71,50,0,1,0
58,79494.0,56.0,48,61,1,2,1
54,101317.0,53.0,44,70,0,2,1
41,85215.0,54.0,55,66,1,2,0
46,98587.0,63.0,59,41,0,2,0
66,26949.0,56.0,69,94,1,0,1
63,75393.0,56.0,74,66,1,2,0
48,93553.0,60.0,72,55,1,1,0
52,26941.0,57.0,62,92,1,2,0
50,45934.0,62.0,67,46,1,0,0
69,43386.0,65.0,53,37,1,1,1
38,81886.0,72.0,61,95,0,2,0
49,95745.0,40.0,48,107,0,2,0
40,103251.0,57.0,60,60,0,2,0
50,114456.0,44.0,60,69,1,1,1
20,73413.0,37.0,77,47,1,1,0
35,76800.0,39.0,57,70,0,0,0
42,117239.0,57.0,60,60,1,1,0
59,62318.0,56.0,62,67,1,1,0
48,90173.0,56.0,55,78,1,2,0
20,90390.0,46.0,51,48,1,1,1
57,72329.0,50.0,72,62,1,2,0
63,63088.0,62.0,50,33,0,2,0
41,59811.0,27.0,46,62,0,1,1
67,75479.0,50.0,66,68,0,0,0
49,105392.0,51.0,71,74,0,0,0
64,107369.0,61.0,55,74,0,1,0
39,39963.0,29.0,55,88,1,0,1
40,75123.0,72.0,62,39,1,2,0
19,112705.0,53.0,52,40,1,2,1
44,93477.0,53.0,52,80,1,1,1
59,34388.0,43.0,68,29,0,0,0
19,25569.0,58.0,66,73,0,0,1
43,89836.0,50.0,73,46,0,2,0
34,56586.0,68.0,47,101,1,1,0
57,32015.0,28.0,54,75,0,0,1
50,65002.0,52.0,62,65,1,1,1
26,26254.0,56.0,50,94,0,0,1
60,37144.0,47.0,66,48,0,2,0
65,44214.0,43.0,72,52,1,2,0
56,100719.0,44.0,54,44,1,1,1
46,91774.0,52.0,60,52,0,2,0
59,26090.0,22.0,74,71,0,0,0
43,31637.0,64.0,77,79,1,2,0
52,42415.0,42.0,67,89,0,1,0
67,44071.0,51.0,65,33,0,1,1
42,78243.0,55.0,51,66,1,1,0
41,61240.0,42.0,63,47,0,0,1
30,103807.0,48.0,65,65,1,0,0
24,53434.0,19.0,57,116,0,0,1
53,89724.0,60.0,54,75,1,0,0
62,95697.0,66.0,47,87,0,0,0
37,48732.0,24.0,42,109,1,2,0
18,31314.0,43.0,40,92,0,0,0
25,43954.0,31.0,65,61,1,0,0
63,77108.0,47.0,61,44,0,2,1
33,107044.0,59.0,55,69,0,0,1
31,107505.0,64.0,56,58,0,1,0
29,56668.0,66.0,62,39,0,0,0
68,43061.0,69.0,58,74,0,0,0
40,99252.0,46.0,46,75,0,1,0
32,59749.0,32.0,69,105,0,1,1
45,36907.0,48.0,63,62,0,1,1
51,38777.0,59.0,62,75,0,1,0
19,113229.0,31.0,68,56,1,0,0
49,71745.0,74.0,51,87,1,1,0
40,111865.0,63.0,72,67,0,1,1
39,101818.0,46.0,58,46,1,2,0
68,43624.0,39.0,68,69,0,1,1
42,43321.0,39.0,67,77,0,1,1
39,30488.0,51.0,49,75,1,2,0
39,42574.0,46.0,65,90,0,2,1
66,25240.0,64.0,63,41,0,0,0
69,63221.0,44.0,60,53,1,2,1
59,30478.0,57.0,59,82,1,0,0
23,75645.0,49.0,59,55,0,2,0
32,39262.0,54.0,68,74,1,2,1
60,72796.0,46.0,65,21,1,0,1
54,24432.0,60.0,60,124,0,2,1
50,115257.0,60.0,45,64,1,0,0
25,84291.0,56.0,64,93,1,2,1
61,99104.0,59.0,67,63,0,1,0
61,79399.0,35.0,83,78,1,2,1
22,99714.0,54.0,70,99,1,0,0
56,70428.0,68.0,41,93,0,2,1
21,107731.0,57.0,60,65,0,0,1
23,20302.0,34.0,78,67,0,0,1
62,102558.0,49.0,66,90,1,1,0
49,20055.0,55.0,63,116,0,1,0
69,28717.0,38.0,69,73,0,0,1
47,48699.0,29.0,53,109,1,2,0
64,93686.0,45.0,64,65,0,0,1
52,87661.0,38.0,57,89,0,0,0
57,64247.0,49.0,59,92,0,2,0
69,36748.0,26.0,68,61,0,2,1
33,24621.0,58.0,50,55,1,2,1
30,35034.0,40.0,72,92,0,2,0
67,25126.0,64.0,55,59,0,0,0
59,25122.0,45.0,62,52,1,0,0
47,38030.0,49.0,45,56,0,1,1
36,102838.0,47.0,67,59,1,0,0
34,104717.0,39.0,74,87,1,2,1
36,75658.0,87.0,54,80,1,1,1
45,58638.0,42.0,48,84,0,2,0
43,87067.0,65.0,62,78,1,0,1
54,108869.0,33.0,74,58,1,1,0
43,54674.0,55.0,45,83,1,2,0
40,55854.0,57.0,48,93,0,1,1
26,66271.0,49.0,55,81,0,1,0
29,93688.0,41.0,51,78,0,0,0
18,58518.0,46.0,51,54,0,2,0
18,30267.0,43.0,39,74,0,1,0
64,110825.0,86.0,65,53,0,1,0
51,21062.0,49.0,63,69,0,2,1
49,70448.0,57.0,43,37,1,1,1
65,115462.0,76.0,74,37,1,1,1
42,26229.0,36.0,76,66,1,1,0
57,76793.0,50.0,52,59,1,2,0
62,67915.0,45.0,71,72,0,2,0
18,24632.0,48.0,54,67,1,2,0
